,block_number,block_name,block_trial_count,block_pairing_definition,study_name,task_number,task_name,trial_number,trial_name,trial_response,trial_latency,trial_error,session_id
34,0,BLOCK0,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,7,pimh_deathlifeword1biat,14,Breathing,(unnamed)/Life,1354,0,2615984175
35,0,BLOCK0,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,7,pimh_deathlifeword1biat,15,Them,(unnamed)/Life,487,0,2615984175
36,0,BLOCK0,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,7,pimh_deathlifeword1biat,16,Die,Me/Death,1370,0,2615984175
37,0,BLOCK0,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,7,pimh_deathlifeword1biat,17,Myself,Me/Death,562,0,2615984175
38,0,BLOCK0,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,7,pimh_deathlifeword1biat,18,Suicide,Me/Death,1286,0,2615984175
1,0,BLOCK0,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,7,pimh_deathlifeword1biat,19,Other,(unnamed)/Life,520,0,2615984175
0,1,BLOCK1,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,7,pimh_deathlifeword1biat,0,Suicide,(unnamed)/Death,2102,0,2615984175
39,1,BLOCK1,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,7,pimh_deathlifeword1biat,1,Breathing,Me/Life,913,0,2615984175
2,1,BLOCK1,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,7,pimh_deathlifeword1biat,2,Deceased,(unnamed)/Death,1057,0,2615984175
3,1,BLOCK1,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,7,pimh_deathlifeword1biat,3,Alive,Me/Life,928,0,2615984175
4,1,BLOCK1,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,7,pimh_deathlifeword1biat,4,Alive,Me/Life,420,0,2615984175
5,1,BLOCK1,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,7,pimh_deathlifeword1biat,5,Myself,Me/Life,1645,0,2615984175
6,1,BLOCK1,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,7,pimh_deathlifeword1biat,6,Dead,(unnamed)/Death,560,0,2615984175
7,1,BLOCK1,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,7,pimh_deathlifeword1biat,7,Them,(unnamed)/Death,482,0,2615984175
8,1,BLOCK1,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,7,pimh_deathlifeword1biat,8,Deceased,(unnamed)/Death,688,0,2615984175
9,1,BLOCK1,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,7,pimh_deathlifeword1biat,9,Self,Me/Life,796,0,2615984175
10,1,BLOCK1,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,7,pimh_deathlifeword1biat,10,Thrive,Me/Life,1040,1,2615984175
11,1,BLOCK1,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,7,pimh_deathlifeword1biat,11,Their,(unnamed)/Death,1410,0,2615984175
12,1,BLOCK1,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,7,pimh_deathlifeword1biat,12,Die,(unnamed)/Death,678,0,2615984175
13,1,BLOCK1,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,7,pimh_deathlifeword1biat,13,Other,(unnamed)/Death,557,0,2615984175
14,1,BLOCK1,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,7,pimh_deathlifeword1biat,14,Living,Me/Life,525,0,2615984175
15,1,BLOCK1,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,7,pimh_deathlifeword1biat,15,They,(unnamed)/Death,414,0,2615984175
16,1,BLOCK1,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,7,pimh_deathlifeword1biat,16,Suicide,(unnamed)/Death,512,0,2615984175
17,1,BLOCK1,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,7,pimh_deathlifeword1biat,17,Mine,Me/Life,534,0,2615984175
18,1,BLOCK1,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,7,pimh_deathlifeword1biat,18,Breathing,Me/Life,926,1,2615984175
19,1,BLOCK1,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,7,pimh_deathlifeword1biat,19,I,Me/Life,1026,0,2615984175
86,0,BLOCK0,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,0,Die,Me/Death,959,0,2615984709
87,0,BLOCK0,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,1,Deceased,Me/Death,764,0,2615984709
128,0,BLOCK0,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,2,Breathing,(unnamed)/Life,1453,0,2615984709
129,0,BLOCK0,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,3,Alive,(unnamed)/Life,1693,0,2615984709
130,0,BLOCK0,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,4,Breathing,(unnamed)/Life,782,0,2615984709
131,0,BLOCK0,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,5,Mine,Me/Death,484,0,2615984709
132,0,BLOCK0,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,6,Dead,Me/Death,1257,0,2615984709
133,0,BLOCK0,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,7,I,Me/Death,668,0,2615984709
134,0,BLOCK0,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,8,Die,Me/Death,2268,0,2615984709
135,0,BLOCK0,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,9,Them,(unnamed)/Life,456,0,2615984709
136,0,BLOCK0,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,10,Thrive,(unnamed)/Life,480,0,2615984709
137,0,BLOCK0,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,11,Other,(unnamed)/Life,2644,0,2615984709
138,0,BLOCK0,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,12,Living,(unnamed)/Life,739,0,2615984709
139,0,BLOCK0,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,13,Myself,Me/Death,721,0,2615984709
140,0,BLOCK0,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,14,Alive,(unnamed)/Life,909,0,2615984709
141,0,BLOCK0,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,15,They,(unnamed)/Life,745,0,2615984709
142,0,BLOCK0,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,16,Deceased,Me/Death,580,0,2615984709
143,0,BLOCK0,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,17,Their,(unnamed)/Life,929,0,2615984709
144,0,BLOCK0,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,18,Suicide,Me/Death,611,0,2615984709
145,0,BLOCK0,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,19,Self,Me/Death,3120,0,2615984709
90,1,BLOCK1,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,0,Deceased,(unnamed)/Death,404,0,2615984709
91,1,BLOCK1,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,1,Dead,(unnamed)/Death,813,0,2615984709
92,1,BLOCK1,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,2,Thrive,Me/Life,569,0,2615984709
93,1,BLOCK1,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,3,Living,Me/Life,717,0,2615984709
94,1,BLOCK1,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,4,Breathing,Me/Life,559,0,2615984709
95,1,BLOCK1,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,5,They,(unnamed)/Death,876,0,2615984709
96,1,BLOCK1,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,6,Suicide,(unnamed)/Death,1048,0,2615984709
97,1,BLOCK1,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,7,I,Me/Life,1613,0,2615984709
98,1,BLOCK1,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,8,Living,Me/Life,1620,0,2615984709
99,1,BLOCK1,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,9,Self,Me/Life,2152,0,2615984709
100,1,BLOCK1,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,10,Dead,(unnamed)/Death,1096,0,2615984709
101,1,BLOCK1,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,11,Them,(unnamed)/Death,1029,0,2615984709
102,1,BLOCK1,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,12,Alive,Me/Life,1123,0,2615984709
103,1,BLOCK1,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,13,Their,(unnamed)/Death,617,0,2615984709
104,1,BLOCK1,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,14,Die,(unnamed)/Death,816,0,2615984709
105,1,BLOCK1,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,15,Myself,Me/Life,1171,0,2615984709
106,1,BLOCK1,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,16,Deceased,(unnamed)/Death,547,0,2615984709
107,1,BLOCK1,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,17,Other,(unnamed)/Death,677,0,2615984709
108,1,BLOCK1,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,18,Thrive,Me/Life,1247,0,2615984709
109,1,BLOCK1,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,19,Mine,Me/Life,1052,0,2615984709
111,2,BLOCK2,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,0,Alive,(unnamed)/Life,532,0,2615984709
112,2,BLOCK2,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,1,Deceased,Me/Death,1434,0,2615984709
113,2,BLOCK2,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,2,Thrive,(unnamed)/Life,623,0,2615984709
110,2,BLOCK2,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,3,Die,Me/Death,846,0,2615984709
114,2,BLOCK2,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,4,Deceased,Me/Death,520,0,2615984709
115,2,BLOCK2,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,5,Self,Me/Death,844,0,2615984709
116,2,BLOCK2,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,6,Breathing,(unnamed)/Life,911,0,2615984709
117,2,BLOCK2,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,7,Mine,Me/Death,429,0,2615984709
118,2,BLOCK2,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,8,Alive,(unnamed)/Life,883,1,2615984709
119,2,BLOCK2,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,9,Their,(unnamed)/Life,505,0,2615984709
120,2,BLOCK2,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,10,Suicide,Me/Death,559,0,2615984709
121,2,BLOCK2,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,11,Other,(unnamed)/Life,595,0,2615984709
122,2,BLOCK2,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,12,Living,(unnamed)/Life,727,0,2615984709
123,2,BLOCK2,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,13,Myself,Me/Death,663,0,2615984709
124,2,BLOCK2,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,14,Dead,Me/Death,762,0,2615984709
125,2,BLOCK2,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,15,They,(unnamed)/Life,769,0,2615984709
126,2,BLOCK2,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,16,Thrive,(unnamed)/Life,362,1,2615984709
127,2,BLOCK2,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,17,Them,(unnamed)/Life,778,0,2615984709
64,2,BLOCK2,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,18,Die,Me/Death,822,0,2615984709
65,2,BLOCK2,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,19,I,Me/Death,506,0,2615984709
146,3,BLOCK3,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,0,Thrive,Me/Life,850,0,2615984709
147,3,BLOCK3,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,1,Suicide,(unnamed)/Death,1637,0,2615984709
148,3,BLOCK3,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,2,Alive,Me/Life,734,0,2615984709
149,3,BLOCK3,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,3,Dead,(unnamed)/Death,628,0,2615984709
150,3,BLOCK3,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,4,Suicide,(unnamed)/Death,528,0,2615984709
151,3,BLOCK3,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,5,Mine,Me/Life,521,0,2615984709
152,3,BLOCK3,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,6,Alive,Me/Life,2109,0,2615984709
153,3,BLOCK3,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,7,Self,Me/Life,443,0,2615984709
154,3,BLOCK3,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,8,Living,Me/Life,1549,0,2615984709
155,3,BLOCK3,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,9,Them,(unnamed)/Death,860,0,2615984709
156,3,BLOCK3,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,10,Die,(unnamed)/Death,1137,0,2615984709
157,3,BLOCK3,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,11,Other,(unnamed)/Death,433,0,2615984709
158,3,BLOCK3,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,12,Breathing,Me/Life,1214,0,2615984709
159,3,BLOCK3,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,13,I,Me/Life,562,0,2615984709
40,3,BLOCK3,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,14,Dead,(unnamed)/Death,543,0,2615984709
41,3,BLOCK3,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,15,Myself,Me/Life,503,0,2615984709
42,3,BLOCK3,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,16,Thrive,Me/Life,544,0,2615984709
43,3,BLOCK3,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,17,Their,(unnamed)/Death,1022,0,2615984709
44,3,BLOCK3,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,18,Deceased,(unnamed)/Death,752,0,2615984709
45,3,BLOCK3,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,19,They,(unnamed)/Death,1294,0,2615984709
66,4,BLOCK4,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,0,Dead,Me/Death,96,0,2615984709
67,4,BLOCK4,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,1,Thrive,(unnamed)/Life,756,0,2615984709
68,4,BLOCK4,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,2,Suicide,Me/Death,1137,0,2615984709
69,4,BLOCK4,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,3,Alive,(unnamed)/Life,1063,1,2615984709
70,4,BLOCK4,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,4,Die,Me/Death,895,0,2615984709
72,4,BLOCK4,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,5,Myself,Me/Death,967,0,2615984709
73,4,BLOCK4,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,6,Breathing,(unnamed)/Life,742,0,2615984709
74,4,BLOCK4,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,7,I,Me/Death,625,0,2615984709
71,4,BLOCK4,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,8,Alive,(unnamed)/Life,1082,0,2615984709
75,4,BLOCK4,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,9,Their,(unnamed)/Life,798,0,2615984709
76,4,BLOCK4,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,10,Deceased,Me/Death,841,0,2615984709
77,4,BLOCK4,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,11,Other,(unnamed)/Life,715,0,2615984709
78,4,BLOCK4,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,12,Dead,Me/Death,686,0,2615984709
79,4,BLOCK4,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,13,Them,(unnamed)/Life,377,0,2615984709
80,4,BLOCK4,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,14,Living,(unnamed)/Life,967,1,2615984709
81,4,BLOCK4,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,15,Self,Me/Death,680,1,2615984709
82,4,BLOCK4,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,16,Suicide,Me/Death,1207,0,2615984709
83,4,BLOCK4,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,17,Mine,Me/Death,1522,0,2615984709
84,4,BLOCK4,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,18,Thrive,(unnamed)/Life,427,0,2615984709
85,4,BLOCK4,20,"(unnamed)/Life,Me/Death",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,19,They,(unnamed)/Life,893,0,2615984709
46,5,BLOCK5,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,0,Living,Me/Life,697,0,2615984709
47,5,BLOCK5,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,1,Breathing,Me/Life,612,0,2615984709
48,5,BLOCK5,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,2,Dead,(unnamed)/Death,10563,0,2615984709
49,5,BLOCK5,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,3,Deceased,(unnamed)/Death,624,0,2615984709
50,5,BLOCK5,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,4,Deceased,(unnamed)/Death,1203,0,2615984709
51,5,BLOCK5,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,5,Them,(unnamed)/Death,997,0,2615984709
52,5,BLOCK5,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,6,Suicide,(unnamed)/Death,548,0,2615984709
53,5,BLOCK5,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,7,I,Me/Life,1611,0,2615984709
54,5,BLOCK5,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,8,Living,Me/Life,832,0,2615984709
55,5,BLOCK5,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,9,Their,(unnamed)/Death,862,0,2615984709
56,5,BLOCK5,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,10,Breathing,Me/Life,3383,0,2615984709
57,5,BLOCK5,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,11,Self,Me/Life,549,0,2615984709
58,5,BLOCK5,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,12,Alive,Me/Life,719,0,2615984709
59,5,BLOCK5,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,13,Myself,Me/Life,488,0,2615984709
60,5,BLOCK5,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,14,Dead,(unnamed)/Death,550,0,2615984709
61,5,BLOCK5,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,15,They,(unnamed)/Death,549,0,2615984709
62,5,BLOCK5,20,"(unnamed)/Death,Me/Life",MentalHealth.DeathlifewordBIAT,5,pimh_deathlifeword1biat,16,Thrive,Me/Life,958,1,2615984709
